System               | Instance             | Version    | Date       | Server    
precise_bsi          | precise_bsi_01       | 7.0.4.0    | 2013-12-30 | PC-BSI01A 
precise_bsi          | precise_bsi_02       | 7.0.4.0    | 2013-12-30 | PC-BSI01A 
precise_bsi          | precise_bsi_03       | 7.0.4.0    | 2013-12-30 | PC-BSI01A 
precise_bsi          | precise_bsi_04       | 7.0.4.0    | 2013-12-30 | PC-BSI01A 
precise_bsi          | precise_bsi_05       | 7.0.4.0    | 2013-12-30 | PC-BSI01A 
precise_bsi          | precise_bsi_06       | 7.0.4.0    | 2013-12-30 | PC-BSI01A 
precise_bsi          | precise_bsi_07       | 7.0.4.0    | 2013-12-30 | PC-BSI01A 
precise_bsi          | precise_bsi_08       | 7.0.4.0    | 2013-12-30 | PC-BSI01A 
precise_bsi          | precise_bsi_09       | 7.0.4.0    | 2013-12-30 | PC-BSI01A 
precise_bsi          | precise_bsi_10       | 7.0.4.0    | 2013-12-30 | PC-BSI01A 
precise_bsi          | precise_bsi_11       | 7.0.4.0    | 2013-12-30 | PC-BSI01A 
precise_bsi          | precise_bsi_12       | 7.0.4.0    | 2013-12-30 | PC-BSI01A 
precise_bsi          | precise_bsi_13       | 7.0.4.0    | 2013-12-30 | PC-BSI01A 
precise_bsi          | precise_bsi_14       | 7.0.4.0    | 2013-12-30 | PC-BSI01A 
precise_bsi          | precise_bsi_15       | 7.0.4.0    | 2013-12-30 | PC-BSI01A 
precise_bsi          | precise_bsi_16       | 7.0.4.0    | 2013-12-30 | PC-BSI01A 
precise_bsi          | precise_bsi_17       | 7.0.4.0    | 2013-12-30 | PC-BSI01A 
precise_bsi          | precise_bsi_18       | 7.0.4.0    | 2013-12-30 | PC-BSI01A 
precise_bsi          | precise_bsi_19       | 7.0.4.0    | 2013-12-30 | PC-BSI01A 
precise_bsi          | precise_bsi_20       | 7.0.4.0    | 2013-12-30 | PC-BSI01A 
precise_amr          | precise_bsi_amr      | 7.0.3.0    | 2013-12-30 | PC-BSI01A 
precise_schema       | schema               | 7.0.1.0    | 2013-12-30 | PC-BSI01A 
precise_bsi          | precise_bsi_01       | 7.0.4.0    | 2013-12-30 | PC-BSI01B 
precise_bsi          | precise_bsi_02       | 7.0.4.0    | 2013-12-30 | PC-BSI01B 
precise_bsi          | precise_bsi_03       | 7.0.4.0    | 2013-12-30 | PC-BSI01B 
precise_bsi          | precise_bsi_04       | 7.0.4.0    | 2013-12-30 | PC-BSI01B 
precise_bsi          | precise_bsi_05       | 7.0.4.0    | 2013-12-30 | PC-BSI01B 
precise_bsi          | precise_bsi_06       | 7.0.4.0    | 2013-12-30 | PC-BSI01B 
precise_bsi          | precise_bsi_07       | 7.0.4.0    | 2013-12-30 | PC-BSI01B 
precise_bsi          | precise_bsi_08       | 7.0.4.0    | 2013-12-30 | PC-BSI01B 
precise_bsi          | precise_bsi_09       | 7.0.4.0    | 2013-12-30 | PC-BSI01B 
precise_bsi          | precise_bsi_10       | 7.0.4.0    | 2013-12-30 | PC-BSI01B 
precise_bsi          | precise_bsi_11       | 7.0.4.0    | 2013-12-30 | PC-BSI01B 
precise_bsi          | precise_bsi_12       | 7.0.4.0    | 2013-12-30 | PC-BSI01B 
precise_bsi          | precise_bsi_13       | 7.0.4.0    | 2013-12-30 | PC-BSI01B 
precise_bsi          | precise_bsi_14       | 7.0.4.0    | 2013-12-30 | PC-BSI01B 
precise_bsi          | precise_bsi_15       | 7.0.4.0    | 2013-12-30 | PC-BSI01B 
precise_bsi          | precise_bsi_16       | 7.0.4.0    | 2013-12-30 | PC-BSI01B 
precise_bsi          | precise_bsi_17       | 7.0.4.0    | 2013-12-30 | PC-BSI01B 
precise_bsi          | precise_bsi_18       | 7.0.4.0    | 2013-12-30 | PC-BSI01B 
precise_bsi          | precise_bsi_19       | 7.0.4.0    | 2013-12-30 | PC-BSI01B 
precise_bsi          | precise_bsi_20       | 7.0.4.0    | 2013-12-30 | PC-BSI01B 
precise_amr          | precise_bsi_amr      | 7.0.3.0    | 2013-12-30 | PC-BSI01B 
