System               | Instance             | Version    | Date       | Server    
precise_bootstrapper | PrecISE_Trade        | 2.1.0.0    | 2014-01-16 | PC-CTX11   | ISEapps   
precise_fe           | 5.6.0                | 5.6.0      | 2014-01-16 | PC-CTX11   | ISEapps   
precise_fe           | 5.7.0                | 5.7.0      | 2014-01-16 | PC-CTX11   | ISEapps   
precise_bootstrapper | PrecISE_Trade        | 2.1.0.0    | 2014-01-16 | PC-CTX12   | ISEapps   
precise_fe           | 5.6.0                | 5.6.0      | 2014-01-16 | PC-CTX12   | ISEapps   
precise_fe           | 5.7.0                | 5.7.0      | 2014-01-16 | PC-CTX12   | ISEapps   
precise_bootstrapper | PrecISE_Trade        | 2.1.0.0    | 2014-01-16 | PC-CTX13   | ISEapps   
precise_fe           | 5.6.0                | 5.6.0      | 2014-01-16 | PC-CTX13   | ISEapps   
precise_fe           | 5.7.0                | 5.7.0      | 2014-01-16 | PC-CTX13   | ISEapps   
precise_bootstrapper | PrecISE_Trade        | 2.1.0.0    | 2014-01-16 | PC-CTX14   | ISEapps   
precise_fe           | 5.6.0                | 5.6.0      | 2014-01-16 | PC-CTX14   | ISEapps   
precise_fe           | 5.7.0                | 5.7.0      | 2014-01-16 | PC-CTX14   | ISEapps   
precise_bootstrapper | PrecISE_Trade        | 2.1.0.0    | 2014-01-16 | PC-CTX15   | ISEapps   
precise_fe           | 5.6.0                | 5.6.0      | 2014-01-16 | PC-CTX15   | ISEapps   
precise_fe           | 5.7.0                | 5.7.0      | 2014-01-16 | PC-CTX15   | ISEapps   
alert_viewer         | AlertViewer          | 1.6.0.3    | 2014-01-10 | PC-CTX16   | ISEapps   
marketwatch          | marketwatch          | 8.0.3.0    | 2014-01-10 | PC-CTX16   | ISEapps   
mpt_client           | MPTClient            | 8.0.4.0    | 2014-01-10 | PC-CTX16   | ISEapps   
obe_client           | OBE                  | 8.0.4.0    | 2014-01-10 | PC-CTX16   | ISEapps   
precise_bootstrapper | PrecISE_Trade        | 2.1.0.0    | 2014-01-16 | PC-CTX16   | ISEapps   
precise_fe           | 5.6.0                | 5.6.0      | 2014-01-16 | PC-CTX16   | ISEapps   
precise_fe           | 5.7.0                | 5.7.0      | 2014-01-16 | PC-CTX16   | ISEapps   
qv_fe                | QueryViewer          | 1.11.1.0   | 2014-01-10 | PC-CTX16   | ISEapps   
rdfe                 | RDFE                 | 8.0.0.0    | 2014-01-10 | PC-CTX16   | ISEapps   
alert_viewer         | AlertViewer          | 1.6.0.3    | 2014-01-10 | PC-CTX17   | ISEapps   
marketwatch          | marketwatch          | 8.0.3.0    | 2014-01-10 | PC-CTX17   | ISEapps   
mpt_client           | MPTClient            | 8.0.4.0    | 2014-01-10 | PC-CTX17   | ISEapps   
obe_client           | OBE                  | 8.0.4.0    | 2014-01-10 | PC-CTX17   | ISEapps   
precise_bootstrapper | PrecISE_Trade        | 2.1.0.0    | 2014-01-16 | PC-CTX17   | ISEapps   
precise_fe           | 5.6.0                | 5.6.0      | 2014-01-16 | PC-CTX17   | ISEapps   
precise_fe           | 5.7.0                | 5.7.0      | 2014-01-16 | PC-CTX17   | ISEapps   
qv_fe                | QueryViewer          | 1.11.1.0   | 2014-01-10 | PC-CTX17   | ISEapps   
rdfe                 | RDFE                 | 8.0.0.0    | 2014-01-10 | PC-CTX17   | ISEapps   
core                 | Matcher              | 008.000.060 | 2014-01-03 | pc-me58a   | core      
core                 | Matcher              | 008.000.060 | 2014-01-03 | pc-me58b   | core      
