System               | Instance             | Version    | Date       | Server    
precise_ports        | precise_ports_01_p   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_01_s   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_02_p   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_02_s   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_03_p   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_03_s   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_04_p   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_04_s   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_05_p   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_05_s   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_06_p   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_06_s   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_07_p   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_07_s   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_08_p   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_08_s   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_09_p   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_09_s   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_10_p   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_10_s   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_11_p   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_11_s   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_12_p   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_12_s   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_13_p   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_13_s   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_14_p   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_14_s   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_15_p   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_15_s   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_16_p   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_16_s   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_17_p   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_17_s   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_18_p   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_18_s   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_19_p   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_19_s   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_20_p   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
precise_ports        | precise_ports_20_s   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | DR        
rtp_atlr             | ATLineReader_01      | 2.8.3.0    | 2014-01-28 | PD-ALR01B  | ISEapps    | DR        
rtp_atlr             | ATLineReader_02      | 2.8.3.0    | 2014-01-28 | PD-ALR01B  | ISEapps    | DR        
rtp_atlr             | ATLineReader_03      | 2.8.3.0    | 2014-01-28 | PD-ALR01B  | ISEapps    | DR        
rtp_atlr             | ATLineReader_04      | 2.8.3.0    | 2014-01-28 | PD-ALR01B  | ISEapps    | DR        
