System               | Instance             | Version    | Date       | Server    
marketwatch          | marketwatch          | 8.0.3.0    | 2014-01-30 | TC-BAT151  | ISEapps    | BAT       
mpt_client           | MPTClient            | 8.2.3.0    | 2014-01-30 | TC-BAT151  | ISEapps    | BAT       
obe_client           | OBE                  | 8.0.4.0    | 2014-01-30 | TC-BAT151  | ISEapps    | BAT       
qv_fe                | QueryViewer          | 1.11.1.0   | 2014-01-30 | TC-BAT151  | ISEapps    | BAT       
rdfe                 | RDFE                 | 8.0.0.0    | 2014-01-30 | TC-BAT151  | ISEapps    | BAT       
config_client        | ConfigurationClient  | 7.0.3.0    | 2014-01-30 | TC-BAT151  | ISEapps    | BAT       
config_service       | ConfigurationService | 7.0.1.0    | 2014-01-30 | TC-BAT151  | ISEapps    | BAT       
config_wcf           | ConfigurationWebService | 7.0.1.0    | 2014-01-30 | TC-BAT151  | ISEapps    | BAT       
mpt_ams              | MPTAlertManagerService | 8.2.1.0    | 2014-01-30 | TC-BAT151  | ISEapps    | BAT       
mpt_as               | MPTAlertService      | 8.0.1.0    | 2014-01-30 | TC-BAT151  | ISEapps    | BAT       
dashboard_ed         | EventDetector        | 6.0.0.0    | 2014-01-30 | TC-BAT151  | ISEapps    | BAT       
dashboard_ew         | EventWriter          | 4.0.0.0    | 2014-01-30 | TC-BAT151  | ISEapps    | BAT       
dashboard_ebs        | ExegyBridgeService   | 8.0.0.0    | 2014-01-30 | TC-BAT151  | ISEapps    | BAT       
dashboard_ops        | OperationsService    | 3.4.1.0    | 2014-01-30 | TC-BAT151  | ISEapps    | BAT       
dashboard_sys        | SysConBridgeService  | 8.0.0.0    | 2014-01-30 | TC-BAT151  | ISEapps    | BAT       
order_deviation      | OrderDeviationAlert_01 | 1.0.3.0    | 2014-01-30 | TC-BAT151  | ISEapps    | BAT       
order_deviation      | OrderDeviationAlert_51 | 1.0.3.0    | 2014-01-30 | TC-BAT151  | ISEapps    | BAT       
config_client        | ConfigurationClient  | 7.0.3.0    | 2014-01-30 | TC-BAT153  | ISEapps    | BAT       
rtp_atlr             | ATLineReader_01      | 2.8.3.0    | 2014-01-30 | TC-BAT153  | ISEapps    | BAT       
rtp_atlr             | ATLineReader_02      | 2.8.3.0    | 2014-01-30 | TC-BAT153  | ISEapps    | BAT       
rtp_atlr             | ATLineReader_51      | 2.8.3.0    | 2014-01-30 | TC-BAT153  | ISEapps    | BAT       
rtp_atlr             | ATLineReader_52      | 2.8.3.0    | 2014-01-30 | TC-BAT153  | ISEapps    | BAT       
rtp_etslr            | ETSLineReader_01     | 2.8.3.0    | 2014-01-30 | TC-BAT153  | ISEapps    | BAT       
