System               | Instance             | Version    | Date       | Server    
rtp_atlr             | ATLineReader_01      | 2.9.0.0    | 2014-02-03 | TC-BAT153  | ISEapps    | BAT       
rtp_atlr             | ATLineReader_02      | 2.9.0.0    | 2014-02-03 | TC-BAT153  | ISEapps    | BAT       
rtp_atlr             | ATLineReader_51      | 2.9.0.0    | 2014-02-03 | TC-BAT153  | ISEapps    | BAT       
rtp_atlr             | ATLineReader_52      | 2.9.0.0    | 2014-02-03 | TC-BAT153  | ISEapps    | BAT       
rtp_etslr            | ETSLineReader_01     | 2.9.0.0    | 2014-02-03 | TC-BAT153  | ISEapps    | BAT       
rtp_etslr            | ETSLineReader_02     | 2.9.0.0    | 2014-02-03 | TC-BAT153  | ISEapps    | BAT       
rtp_etslr            | ETSLineReader_51     | 2.9.0.0    | 2014-02-03 | TC-BAT153  | ISEapps    | BAT       
rtp_etslr            | ETSLineReader_52     | 2.9.0.0    | 2014-02-03 | TC-BAT153  | ISEapps    | BAT       
rtp_loratlr          | LORATLineReader_01   | 2.9.0.0    | 2014-02-03 | TC-BAT153  | ISEapps    | BAT       
rtp_loratlr          | LORATLineReader_51   | 2.9.0.0    | 2014-02-03 | TC-BAT153  | ISEapps    | BAT       
rtp_olr              | OpraLineReader_01    | 2.9.0.0    | 2014-02-03 | TC-BAT153  | ISEapps    | BAT       
rtp_olr              | OpraLineReader_02    | 2.9.0.0    | 2014-02-03 | TC-BAT153  | ISEapps    | BAT       
rtp_pim              | PluginManager_01     | 2.9.0.0    | 2014-02-03 | TC-BAT153  | ISEapps    | BAT       
rtp_pim              | PluginManager_02     | 2.9.0.0    | 2014-02-03 | TC-BAT153  | ISEapps    | BAT       
rtp_pim              | PluginManager_51     | 2.9.51.0   | 2014-02-03 | TC-BAT153  | ISEapps    | BAT       
rtp_pim              | PluginManager_52     | 2.9.51.0   | 2014-02-03 | TC-BAT153  | ISEapps    | BAT       
config_client        | ConfigurationClient  | 7.0.3.0    | 2014-02-03 | TC-BAT154  | ISEapps    | BAT       
occtr                | OCCTR_01             | 2.1.3.0    | 2014-02-03 | TC-BAT154  | ISEapps    | BAT       
occtr                | OCCTR_51             | 2.1.3.0    | 2014-02-03 | TC-BAT154  | ISEapps    | BAT       
rdcx_refdatamanager  | RefDataMan           | 8.0.0.0    | 2014-02-03 | TC-BAT154  | ISEapps    | BAT       
rdcx_refdataservice  | RefDataSer           | 8.0.0.0    | 2014-02-03 | TC-BAT154  | ISEapps    | BAT       
series_injector_wcf  | SeriesInjector       | 7.0.1.0    | 2014-02-03 | TC-BAT154  | ISEapps    | BAT       
ttuc                 | TTUC                 | 2.1.0.0    | 2014-02-03 | TC-BAT154  | ISEapps    | BAT       
ttuc                 | TTUC_Gemini          | 2.1.0.0    | 2014-02-03 | TC-BAT154  | ISEapps    | BAT       
config_client        | ConfigurationClient  | 7.0.3.0    | 2014-02-03 | TC-BAT158  | ISEapps    | BAT       
iors_dca             | iors_bsi_dca_01      | 3.30.0.1   | 2014-02-03 | TC-BAT158  | ISEapps    | BAT       
iors_ora             | iors_bsi_ora_01      | 3.30.0.5   | 2014-02-03 | TC-BAT158  | ISEapps    | BAT       
iors_gct             | iors_gct_ora         | 1.2.0.0    | 2014-02-03 | TC-BAT158  | ISEapps    | BAT       
iors_irc             | iors_irc_sqm_p       | 3.30.0.0   | 2014-02-03 | TC-BAT158  | ISEapps    | BAT       
iors_irc             | iors_irc_sqm_s       | 3.30.0.0   | 2014-02-03 | TC-BAT158  | ISEapps    | BAT       
iors_ldc             | iors_ldc             | 6.0.2.0    | 2014-02-03 | TC-BAT158  | ISEapps    | BAT       
iors_moe             | iors_moe             | 3.30.0.0   | 2014-02-03 | TC-BAT158  | ISEapps    | BAT       
config_client        | ConfigurationClient  | 7.0.3.0    | 2014-02-03 | TC-BAT159  | ISEapps    | BAT       
dms_wcf              | DataManagerService   | 1.9.3.0    | 2014-02-03 | TC-BAT159  | ISEapps    | BAT       
mdr_wcf              | GEMINIMdrQueryService | 1.12.2.0   | 2014-02-03 | TC-BAT159  | ISEapps    | BAT       
mdcx_wcf             | MDCX_01              | 8.0.0.0    | 2014-02-03 | TC-BAT159  | ISEapps    | BAT       
mdr_processor        | MDRProcessor         | 1.14.0.0   | 2014-02-03 | TC-BAT159  | ISEapps    | BAT       
mdr_wcf              | MdrQueryService      | 1.12.2.0   | 2014-02-03 | TC-BAT159  | ISEapps    | BAT       
obe_gts              | GtsService           | 8.0.0.0    | 2014-02-03 | TC-BAT159  | ISEapps    | BAT       
obe_ofids            | OFIDS                | 8.0.0.0    | 2014-02-03 | TC-BAT159  | ISEapps    | BAT       
precise_wcf          | PrecISETradeWebService | 8.0.0.2    | 2014-02-03 | TC-BAT159  | ISEapps    | BAT       
precise_wslogger     | PreciseWSLogger      | 1.0.0.0    | 2014-02-03 | TC-BAT159  | ISEapps    | BAT       
precise_bsi          | precise_bsi_01       | 8.0.3.0    | 2014-02-03 | TC-BAT159  | ISEapps    | BAT       
precise_bsi          | precise_bsi_02       | 8.0.3.0    | 2014-02-03 | TC-BAT159  | ISEapps    | BAT       
precise_amr          | precise_bsi_amr      | 7.0.3.0    | 2014-02-03 | TC-BAT159  | ISEapps    | BAT       
precise_ew           | precise_ew           | 3.1.0.0    | 2014-02-03 | TC-BAT159  | ISEapps    | BAT       
precise_ports        | precise_ports_01     | 8.0.2.0    | 2014-02-03 | TC-BAT159  | ISEapps    | BAT       
