System               | Instance             | Version    | Date       | Server    
mpt_client           | MPTClient            | 8.2.5.0    | 2014-02-04 | PD-MPT01   | ISEapps    | DR        
mpt_ams              | MPTAlertManagerService_01 | 8.2.1.0    | 2014-02-04 | PD-MPT01   | ISEapps    | DR        
mpt_ams              | MPTAlertManagerService_02 | 8.2.1.0    | 2014-02-04 | PD-MPT01   | ISEapps    | DR        
mwsb                 | mwsb_01              | 1.0.5.0    | 2014-02-04 | PD-OBE01   | ISEapps    | DR        
mpt_client           | MPTClient            | 8.2.5.0    | 2014-02-05 | PD-PIM01A  | ISEapps    | DR        
qv_fe                | QueryViewer          | 1.11.1.0   | 2014-02-05 | PD-PIM01A  | ISEapps    | DR        
rdfe                 | RDFE                 | 8.0.0.0    | 2014-02-05 | PD-PIM01A  | ISEapps    | DR        
mdr_processor        | MDRProcessor         | 1.13.2.0   | 2014-02-05 | PD-PIM01A  | ISEapps    | DR        
rdqs                 | RDQS                 | 1.11.0.0   | 2014-02-05 | PD-PIM01A  | ISEapps    | DR        
rtp_pim              | PluginManager_01     | 2.8.3.2    | 2014-02-05 | PD-PIM01A  | ISEapps    | DR        
rtp_pim              | PluginManager_02     | 2.8.3.2    | 2014-02-05 | PD-PIM01A  | ISEapps    | DR        
rtp_pim              | PluginManager_03     | 2.8.3.2    | 2014-02-05 | PD-PIM01A  | ISEapps    | DR        
rtp_pim              | PluginManager_04     | 2.8.3.2    | 2014-02-05 | PD-PIM01A  | ISEapps    | DR        
rtp_pim              | PluginManager_05     | 2.8.3.2    | 2014-02-05 | PD-PIM01A  | ISEapps    | DR        
rtp_pim              | PluginManager_52     | 2.8.53.2   | 2014-02-05 | PD-PIM01A  | ISEapps    | DR        
rtp_pim              | PluginManager_01     | 2.8.3.2    | 2014-02-05 | PD-PIM01B  | ISEapps    | DR        
rtp_pim              | PluginManager_02     | 2.8.3.2    | 2014-02-05 | PD-PIM01B  | ISEapps    | DR        
rtp_pim              | PluginManager_03     | 2.8.3.2    | 2014-02-05 | PD-PIM01B  | ISEapps    | DR        
rtp_pim              | PluginManager_04     | 2.8.3.2    | 2014-02-05 | PD-PIM01B  | ISEapps    | DR        
rtp_pim              | PluginManager_05     | 2.8.3.2    | 2014-02-05 | PD-PIM01B  | ISEapps    | DR        
rtp_pim              | PluginManager_51     | 2.8.53.2   | 2014-02-05 | PD-PIM01B  | ISEapps    | DR        
rtp_pim              | PluginManager_52     | 2.8.53.2   | 2014-02-05 | PD-PIM01B  | ISEapps    | DR        
rtp_pim              | PluginManager_01     | 2.8.3.2    | 2014-02-05 | PD-PIM01C  | ISEapps    | DR        
rtp_pim              | PluginManager_02     | 2.8.3.2    | 2014-02-05 | PD-PIM01C  | ISEapps    | DR        
rtp_pim              | PluginManager_03     | 2.8.3.2    | 2014-02-05 | PD-PIM01C  | ISEapps    | DR        
rtp_pim              | PluginManager_04     | 2.8.3.2    | 2014-02-05 | PD-PIM01C  | ISEapps    | DR        
rtp_pim              | PluginManager_05     | 2.8.3.2    | 2014-02-05 | PD-PIM01C  | ISEapps    | DR        
rtp_pim              | PluginManager_51     | 2.8.53.2   | 2014-02-05 | PD-PIM01C  | ISEapps    | DR        
rtp_pim              | PluginManager_52     | 2.8.53.2   | 2014-02-05 | PD-PIM01C  | ISEapps    | DR        
