System               | Instance             | Version    | Date       | Server    
core                 | ActiveMQ             | 008.000.060 | 2014-01-03 | pc-amq01b  | core      
core                 | AuditTrail           | 008.000.060 | 2014-01-03 | pc-at01    | core      
core                 | AuditTrail           | 008.000.060 | 2014-01-03 | pc-at02    | core      
core                 | AuditTrail           | 008.000.060 | 2014-01-03 | pc-at03    | core      
core                 | AuditTrail           | 008.000.060 | 2014-01-03 | pc-at04    | core      
core                 | AuditTrail           | 008.000.060 | 2014-01-03 | pc-at05    | core      
core                 | AuditTrail           | 008.000.060 | 2014-01-03 | pc-at06    | core      
core                 | AuditTrail           | 008.000.060 | 2014-01-03 | pc-at07    | core      
core                 | AuditTrail           | 008.000.060 | 2014-01-03 | pc-at08    | core      
core                 | AuditTrail           | 008.000.060 | 2014-01-03 | pc-at09    | core      
core                 | AuditTrail           | 008.000.060 | 2014-01-03 | pc-at10    | core      
core                 | AuditTrail           | 008.000.060 | 2014-01-03 | pc-at51    | core      
core                 | AuditTrail           | 008.000.060 | 2014-01-03 | pc-at52    | core      
core                 | AuditTrail           | 008.000.060 | 2014-01-03 | pc-at53    | core      
core                 | AuditTrail           | 008.000.060 | 2014-01-03 | pc-at54    | core      
core                 | AuditTrail           | 008.000.060 | 2014-01-03 | pc-at55    | core      
core                 | AuditTrail           | 008.000.060 | 2014-01-03 | pc-at56    | core      
core                 | AuditTrail           | 008.000.060 | 2014-01-03 | pc-at57    | core      
core                 | AuditTrail           | 008.000.060 | 2014-01-03 | pc-at58    | core      
core                 | CrossDB              | 008.000.060 | 2014-01-03 | pc-cdb01a  | core      
core                 | CrossDB              | 008.000.060 | 2014-01-03 | pc-cdb01b  | core      
core                 | PerfMon              | 008.000.060 | 2014-01-03 | pc-cpm01   | core      
core                 | PerfMon              | 008.000.060 | 2014-01-03 | pc-cpm02   | core      
core                 | PerfMon              | 008.000.060 | 2014-01-03 | pc-cpm03   | core      
core                 | PerfMon              | 008.000.060 | 2014-01-03 | pc-cpm04   | core      
core                 | PerfMon              | 008.000.060 | 2014-01-03 | pc-cpm05   | core      
