System               | Instance             | Version    | Date       | Server    
config_client        | ConfigurationClient  | 7.0.3.0    | 2014-01-30 | TC-OAT07A  | ISEapps    | OAT       
dms_wcf              | DataManagerService   | 1.9.3.0    | 2014-01-30 | TC-OAT07A  | ISEapps    | OAT       
mdr_wcf              | GEMINIMdrQueryService | 1.12.1.0   | 2014-01-30 | TC-OAT07A  | ISEapps    | OAT       
iors_dca             | iors_bsi_dca_01      | 3.30.0.0   | 2014-01-30 | TC-OAT07A  | ISEapps    | OAT       
iors_ora             | iors_bsi_ora_01      | 3.30.0.6   | 2014-02-06 | TC-OAT07A  | ISEapps    | OAT       
iors_gct             | iors_gct_ora         | 1.2.0.0    | 2014-01-30 | TC-OAT07A  | ISEapps    | OAT       
iors_moe             | iors_moe             | 3.28.1.0   | 2014-01-30 | TC-OAT07A  | ISEapps    | OAT       
lor                  | LOR_01               | 1.0.0.36   | 2014-01-30 | TC-OAT07A  | ISEapps    | OAT       
lor                  | LOR_51               | 1.0.0.36   | 2014-01-30 | TC-OAT07A  | ISEapps    | OAT       
mdr_wcf              | MdrQueryService      | 1.12.1.0   | 2014-01-30 | TC-OAT07A  | ISEapps    | OAT       
dashboard_ed         | EventDetector        | 6.0.0.0    | 2014-01-30 | TC-OAT07A  | ISEapps    | OAT       
dashboard_ew         | EventWriter          | 4.0.0.0    | 2014-01-30 | TC-OAT07A  | ISEapps    | OAT       
dashboard_ebs        | ExegyBridgeService   | 1.6.1.0    | 2014-01-30 | TC-OAT07A  | ISEapps    | OAT       
dashboard_ops        | OperationsService    | 3.4.1.0    | 2014-01-30 | TC-OAT07A  | ISEapps    | OAT       
dashboard_sys        | SysConBridgeService  | 8.0.0.0    | 2014-01-30 | TC-OAT07A  | ISEapps    | OAT       
precise_bsi          | precise_bsi_01       | 8.0.2.0    | 2014-01-30 | TC-OAT07A  | ISEapps    | OAT       
precise_amr          | precise_bsi_amr      | 7.0.3.0    | 2014-01-30 | TC-OAT07A  | ISEapps    | OAT       
rdcx_refdatamanager  | RefDataMan           | 8.0.0.0    | 2014-01-30 | TC-OAT07A  | ISEapps    | OAT       
rdcx_refdataservice  | RefDataSer           | 8.0.0.0    | 2014-01-30 | TC-OAT07A  | ISEapps    | OAT       
rtp_atlr             | ATLineReader_01      | 2.8.2.0    | 2014-01-30 | TC-OAT07A  | ISEapps    | OAT       
rtp_atlr             | ATLineReader_02      | 2.8.2.0    | 2014-01-30 | TC-OAT07A  | ISEapps    | OAT       
rtp_etslr            | ETSLineReader_01     | 2.8.2.0    | 2014-01-30 | TC-OAT07A  | ISEapps    | OAT       
rtp_etslr            | ETSLineReader_02     | 2.8.2.0    | 2014-01-30 | TC-OAT07A  | ISEapps    | OAT       
rtp_loratlr          | LORATLineReader_01   | 2.8.2.0    | 2014-01-30 | TC-OAT07A  | ISEapps    | OAT       
rtp_olr              | OpraLineReader_01    | 2.8.0.0    | 2014-01-30 | TC-OAT07A  | ISEapps    | OAT       
rtp_olr              | OpraLineReader_02    | 2.8.0.0    | 2014-01-30 | TC-OAT07A  | ISEapps    | OAT       
