System               | Instance             | Version    | Date       | Server    
rtp_pim              | PluginManager_01     | 2.8.3.3    | 2014-02-06 | PD-PIM01A  | ISEapps    | DR        
rtp_pim              | PluginManager_02     | 2.8.3.3    | 2014-02-06 | PD-PIM01A  | ISEapps    | DR        
rtp_pim              | PluginManager_51     | 2.8.53.2   | 2014-02-06 | PD-PIM01A  | ISEapps    | DR        
rtp_pim              | PluginManager_01     | 2.8.3.2    | 2014-02-06 | PD-PIM01H  | ISEapps    | DR        
rtp_pim              | PluginManager_02     | 2.8.3.2    | 2014-02-06 | PD-PIM01H  | ISEapps    | DR        
rtp_pim              | PluginManager_03     | 2.8.3.2    | 2014-02-06 | PD-PIM01H  | ISEapps    | DR        
rtp_pim              | PluginManager_04     | 2.8.3.2    | 2014-02-06 | PD-PIM01H  | ISEapps    | DR        
rtp_pim              | PluginManager_05     | 2.8.3.2    | 2014-02-06 | PD-PIM01H  | ISEapps    | DR        
rtp_pim              | PluginManager_51     | 2.8.53.2   | 2014-02-06 | PD-PIM01H  | ISEapps    | DR        
rtp_pim              | PluginManager_52     | 2.8.53.2   | 2014-02-06 | PD-PIM01H  | ISEapps    | DR        
precise_salesdeskohr | SalesDesk_OHR        | 8.0.3.0    | 2014-02-06 | PD-PIM01H  | ISEapps    | DR        
core                 | Matcher              | 008.000.080 | 2014-01-28 | pd-me05a   | core       | DR        
core                 | OutboundFeedInterface | 008.000.080 | 2014-01-28 | pd-ofi01   | core       | DR        
