System               | Instance             | Version    | Date       | Server    
precise_wslogger     | PreciseWSLogger      | 1.1.0.0    | 2014-02-07 | TC-BAT159  | ISEapps    | BAT       
marketwatch          | marketwatch          | 8.0.3.0    | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
mpt_client           | MPTClient            | 8.0.400.0  | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
obe_client           | OBE                  | 8.0.4.0    | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
precise_bootstrapper | PrecISE_Trade        | 2.1.0.0    | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
precise_fe           | 5.6.0                | 5.6.0      | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
precise_fe           | 5.7.0                | 5.7.0      | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
qv_fe                | QueryViewer          | 1.11.1.0   | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
rdfe                 | RDFE                 | 8.0.0.0    | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
config_client        | ConfigurationClient  | 7.0.3.0    | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
config_service       | ConfigurationService | 7.0.1.0    | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
config_wcf           | ConfigurationWebService | 3.5.0.0    | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
mpt_ams              | MPTAlertManagerService | 8.0.0.0    | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
mpt_as               | MPTAlertService      | 8.0.1.0    | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
nlsl                 | nlsl                 | 8.0.0.0    | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
dashboard_ebs        | ExegyBridgeService   | 8.0.0.0    | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
precise_wcf          | PrecISETradeWebService | 8.0.0.2    | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
precise_wslogger     | PreciseWSLogger      | 1.1.0.0    | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
precise_bsi          | precise_bsi_01       | 8.0.3.0    | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
precise_bsi          | precise_bsi_02       | 8.0.3.0    | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
precise_bsi          | precise_bsi_03       | 8.0.3.0    | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
precise_amr          | precise_bsi_amr      | 7.0.3.0    | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
precise_ew           | precise_ew           | 3.1.0.0    | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
precise_ports        | precise_ports_01     | 8.0.2.0    | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
precise_sda          | precise_sda          | 2.4.1.0    | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
precise_tew          | precise_tew_01       | 8.0.0.0    | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
precise_udw          | precise_udw          | 4.1.0.0    | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
rdcx_refdatamanager  | RefDataMan           | 8.0.0.0    | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
rdcx_refdataservice  | RefDataSer           | 8.0.0.0    | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
rdns                 | RDNS_01p             | 8.0.0.0    | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
rdqs                 | RDQS                 | 1.11.0.0   | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
precise_schema       | schema               | 1.7.2.0    | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
precise_regutility   | VersionRegUtility    | 1.1.0.0    | 2014-02-07 | TC-BAT251  | ISEapps    | BAT       
config_client        | ConfigurationClient  | 7.0.3.0    | 2014-02-07 | TC-BAT252  | ISEapps    | BAT       
config_client        | ConfigurationClient  | 7.0.3.0    | 2014-02-07 | TC-BAT253  | ISEapps    | BAT       
eilp                 | EILP                 | 2.0.0.0    | 2014-02-07 | TC-BAT253  | ISEapps    | BAT       
lor                  | LOR_01               | 1.0.0.33   | 2014-02-07 | TC-BAT253  | ISEapps    | BAT       
lor                  | LOR_51               | 1.0.0.33   | 2014-02-07 | TC-BAT253  | ISEapps    | BAT       
mdcx_wcf             | MDCX_01              | 8.0.0.0    | 2014-02-07 | TC-BAT253  | ISEapps    | BAT       
obe_gts              | GtsService           | 8.0.0.0    | 2014-02-07 | TC-BAT253  | ISEapps    | BAT       
obe_ofids            | OFIDS                | 7.0.1.0    | 2014-02-07 | TC-BAT253  | ISEapps    | BAT       
sor                  | SOR_01p              | 3.1.0.5    | 2014-02-07 | TC-BAT253  | ISEapps    | BAT       
sor                  | SOR_02p              | 3.1.0.5    | 2014-02-07 | TC-BAT253  | ISEapps    | BAT       
config_client        | ConfigurationClient  | 7.0.3.0    | 2014-02-07 | TC-BAT256  | ISEapps    | BAT       
