System               | Instance             | Version    | Date       | Server    
precise_wslogger     | PreciseWSLogger      | 1.1.0.0    | 2014-02-10 | TC-MAT255  | ISEapps    | MAT       
config_client        | ConfigurationClient  | 3.5.1.0    | 2014-02-10 | TC-MAT353  | ISEapps    | MAT       
precise_wcf          | PrecISETradeWebService | 8.0.0.1    | 2014-02-10 | TC-MAT353  | ISEapps    | MAT       
precise_wslogger     | PreciseWSLogger      | 1.1.0.0    | 2014-02-10 | TC-MAT353  | ISEapps    | MAT       
precise_bsi          | precise_bsi_01       | 8.0.2.0    | 2014-02-10 | TC-MAT353  | ISEapps    | MAT       
precise_bsi          | precise_bsi_02       | 8.0.2.0    | 2014-02-10 | TC-MAT353  | ISEapps    | MAT       
precise_bsi          | precise_bsi_03       | 8.0.2.0    | 2014-02-10 | TC-MAT353  | ISEapps    | MAT       
precise_bsi          | precise_bsi_04       | 8.0.2.0    | 2014-02-10 | TC-MAT353  | ISEapps    | MAT       
precise_bsi          | precise_bsi_05       | 8.0.2.0    | 2014-02-10 | TC-MAT353  | ISEapps    | MAT       
precise_amr          | precise_bsi_amr      | 7.0.3.0    | 2014-02-10 | TC-MAT353  | ISEapps    | MAT       
precise_ew           | precise_ew           | 3.1.0.0    | 2014-02-10 | TC-MAT353  | ISEapps    | MAT       
precise_ports        | precise_ports_01     | 8.0.2.0    | 2014-02-10 | TC-MAT353  | ISEapps    | MAT       
precise_sda          | precise_sda          | 2.4.1.0    | 2014-02-10 | TC-MAT353  | ISEapps    | MAT       
precise_tew          | precise_tew_01       | 7.0.8.0    | 2014-02-10 | TC-MAT353  | ISEapps    | MAT       
precise_udw          | precise_udw          | 4.1.0.0    | 2014-02-10 | TC-MAT353  | ISEapps    | MAT       
precise_schema       | schema               | 7.0.1.0    | 2014-02-10 | TC-MAT353  | ISEapps    | MAT       
precise_regutility   | VersionRegUtility    | 1.1.0.0    | 2014-02-10 | TC-MAT353  | ISEapps    | MAT       
