System               | Instance             | Version    | Date       | Server    
iors_irc             | iors_irc_pat21_p_1   | 3.30.0.0   | 2014-02-10 | TC-PAT221  | ISEapps    | PAT       
iors_ldc             | iors_ldc             | 6.0.2.0    | 2014-02-10 | TC-PAT221  | ISEapps    | PAT       
rtp_pim              | PluginManager_01     | 2.8.3.0    | 2014-02-10 | TC-PAT221  | ISEapps    | PAT       
core                 | Other                | 008.000.080 | 2014-01-28 | tc-pat201  | core       | PAT       
core                 | Other                | 008.000.080 | 2014-01-28 | tc-pat204  | core       | PAT       
core                 | Other                | 008.000.080 | 2014-01-28 | tc-pat205  | core       | PAT       
core                 | Other                | 008.000.080 | 2014-01-28 | tc-pat206  | core       | PAT       
core                 | Other                | 008.000.080 | 2014-01-28 | tc-pat207  | core       | PAT       
core                 | Other                | 008.000.080 | 2014-01-28 | tc-pat208  | core       | PAT       
core                 | Other                | 008.000.080 | 2014-01-28 | tc-pat209  | core       | PAT       
core                 | Other                | 008.000.080 | 2014-01-28 | tc-pat210  | core       | PAT       
core                 | Other                | 008.000.080 | 2014-01-28 | tc-pat211  | core       | PAT       
core                 | Other                | 008.000.080 | 2014-01-28 | tc-pat212  | core       | PAT       
core                 | Other                | 008.000.080 | 2014-01-28 | tc-pat213  | core       | PAT       
core                 | Other                | 008.000.080 | 2014-01-28 | tc-pat214  | core       | PAT       
core                 | Other                | 008.000.080 | 2014-01-28 | tc-pat215  | core       | PAT       
core                 | Other                | 008.000.080 | 2014-01-28 | tc-pat216  | core       | PAT       
