System               | Instance             | Version    | Date       | Server    
core                 | Other                | 008.001.010 | 2014-02-12 | tc-pat201  | core       | PAT       
core                 | Other                | 008.001.010 | 2014-02-12 | tc-pat202  | core       | PAT       
core                 | Other                | 008.001.010 | 2014-02-12 | tc-pat203  | core       | PAT       
core                 | Other                | 008.001.010 | 2014-02-12 | tc-pat204  | core       | PAT       
core                 | Other                | 008.001.010 | 2014-02-12 | tc-pat205  | core       | PAT       
core                 | Other                | 008.001.010 | 2014-02-12 | tc-pat206  | core       | PAT       
core                 | Other                | 008.001.010 | 2014-02-12 | tc-pat207  | core       | PAT       
core                 | Other                | 008.001.010 | 2014-02-12 | tc-pat208  | core       | PAT       
core                 | Other                | 008.001.010 | 2014-02-12 | tc-pat209  | core       | PAT       
core                 | Other                | 008.001.010 | 2014-02-12 | tc-pat210  | core       | PAT       
core                 | Other                | 008.001.010 | 2014-02-12 | tc-pat211  | core       | PAT       
core                 | Other                | 008.001.010 | 2014-02-12 | tc-pat212  | core       | PAT       
core                 | Other                | 008.001.010 | 2014-02-12 | tc-pat213  | core       | PAT       
core                 | Other                | 008.001.010 | 2014-02-12 | tc-pat214  | core       | PAT       
core                 | Other                | 008.001.010 | 2014-02-12 | tc-pat215  | core       | PAT       
core                 | Other                | 008.001.010 | 2014-02-12 | tc-pat216  | core       | PAT       
