System               | Instance             | Version    | Date       | Server    
mpt_client           | MPTClient            | 8.2.8.2    | 2014-02-14 | PC-CTX11   | ISEapps    | PROD      
precise_fe           | 5.7.1                | 5.7.1.0    | 2014-02-14 | PC-CTX11   | ISEapps    | PROD      
mpt_client           | MPTClient            | 8.2.8.2    | 2014-02-14 | PC-CTX12   | ISEapps    | PROD      
precise_fe           | 5.7.1                | 5.7.1.0    | 2014-02-14 | PC-CTX12   | ISEapps    | PROD      
mpt_client           | MPTClient            | 8.2.8.2    | 2014-02-14 | PC-CTX13   | ISEapps    | PROD      
precise_fe           | 5.7.1                | 5.7.1.0    | 2014-02-14 | PC-CTX13   | ISEapps    | PROD      
mpt_client           | MPTClient            | 8.2.8.2    | 2014-02-14 | PC-CTX14   | ISEapps    | PROD      
precise_fe           | 5.7.1                | 5.7.1.0    | 2014-02-14 | PC-CTX14   | ISEapps    | PROD      
mpt_client           | MPTClient            | 8.2.8.2    | 2014-02-14 | PC-CTX15   | ISEapps    | PROD      
precise_fe           | 5.7.1                | 5.7.1.0    | 2014-02-14 | PC-CTX15   | ISEapps    | PROD      
mpt_client           | MPTClient            | 8.2.8.2    | 2014-02-14 | PC-CTX16   | ISEapps    | PROD      
precise_fe           | 5.7.1                | 5.7.1.0    | 2014-02-14 | PC-CTX16   | ISEapps    | PROD      
obe_wcf              | WCFService           | 8.2.0.0    | 2014-02-14 | PC-OBE01   | ISEapps    | PROD      
obe_mpt_wcf          | WCFService_MPT       | 8.2.0.0    | 2014-02-14 | PC-OBE01   | ISEapps    | PROD      
obe_wcf              | WCFService           | 8.2.0.0    | 2014-02-14 | PC-OBE02   | ISEapps    | PROD      
obe_mpt_wcf          | WCFService_MPT       | 8.2.0.0    | 2014-02-14 | PC-OBE02   | ISEapps    | PROD      
core                 | Matcher              | 008.000.090 | 2014-02-14 | pc-me01a   | core       | PROD      
core                 | Matcher              | 008.000.090 | 2014-02-14 | pc-me02a   | core       | PROD      
core                 | Matcher              | 008.000.090 | 2014-02-14 | pc-me03a   | core       | PROD      
core                 | Matcher              | 008.000.090 | 2014-02-14 | pc-me04a   | core       | PROD      
core                 | Matcher              | 008.000.090 | 2014-02-14 | pc-me05a   | core       | PROD      
core                 | Matcher              | 008.000.090 | 2014-02-14 | pc-me06a   | core       | PROD      
core                 | Matcher              | 008.000.090 | 2014-02-14 | pc-me07a   | core       | PROD      
core                 | Matcher              | 008.000.090 | 2014-02-14 | pc-me08a   | core       | PROD      
core                 | Matcher              | 008.000.090 | 2014-02-14 | pc-me09a   | core       | PROD      
core                 | Matcher              | 008.000.090 | 2014-02-14 | pc-me10a   | core       | PROD      
core                 | Matcher              | 008.000.090 | 2014-02-14 | pc-me51a   | core       | PROD      
core                 | Matcher              | 008.000.090 | 2014-02-14 | pc-me52a   | core       | PROD      
core                 | Matcher              | 008.000.090 | 2014-02-14 | pc-me53a   | core       | PROD      
core                 | Matcher              | 008.000.090 | 2014-02-14 | pc-me54a   | core       | PROD      
core                 | Matcher              | 008.000.090 | 2014-02-14 | pc-me55a   | core       | PROD      
core                 | Matcher              | 008.000.090 | 2014-02-14 | pc-me56a   | core       | PROD      
core                 | Matcher              | 008.000.090 | 2014-02-14 | pc-me58a   | core       | PROD      
core                 | Matcher              | 008.000.090 | 2014-02-14 | pc-me57a   | core       | PROD      
