System               | Instance             | Version    | Date       | Server    
core                 | ActiveMQ             | 008.000.090 | 2014-02-14 | pd-amq01   | core       | DR        
core                 | Matcher              | 008.000.090 | 2014-02-14 | pd-me03a   | core       | DR        
core                 | AuditTrail           | 008.000.090 | 2014-02-14 | pd-at01    | core       | DR        
core                 | AuditTrail           | 008.000.090 | 2014-02-14 | pd-at03    | core       | DR        
core                 | AuditTrail           | 008.000.090 | 2014-02-14 | pd-at04    | core       | DR        
core                 | AuditTrail           | 008.000.090 | 2014-02-14 | pd-at05    | core       | DR        
core                 | CrossDB              | 008.000.090 | 2014-02-14 | pd-cdb01a  | core       | DR        
core                 | PerfMon              | 008.000.090 | 2014-02-14 | pd-cpm01   | core       | DR        
core                 | PerfMon              | 008.000.090 | 2014-02-14 | pd-cpm02   | core       | DR        
core                 | MarketData           | 008.000.090 | 2014-02-14 | pd-dd03a   | core       | DR        
core                 | MarketData           | 008.000.090 | 2014-02-14 | pd-dd04a   | core       | DR        
core                 | MarketData           | 008.000.090 | 2014-02-14 | pd-dd05a   | core       | DR        
core                 | CentralRsysLog       | 008.000.090 | 2014-02-14 | pd-log01   | core       | DR        
core                 | Matcher              | 008.000.090 | 2014-02-14 | pd-me04a   | core       | DR        
core                 | Matcher              | 008.000.090 | 2014-02-14 | pd-me05a   | core       | DR        
core                 | Gateway              | 008.000.090 | 2014-02-14 | pd-mgw01   | core       | DR        
core                 | Gateway              | 008.000.090 | 2014-02-14 | pd-mgw02   | core       | DR        
core                 | Gateway              | 008.000.090 | 2014-02-14 | pd-mgw03   | core       | DR        
core                 | Gateway              | 008.000.090 | 2014-02-14 | pd-mgw04   | core       | DR        
core                 | Gateway              | 008.000.090 | 2014-02-14 | pd-mgw08   | core       | DR        
core                 | Gateway              | 008.000.090 | 2014-02-14 | pd-mgw09   | core       | DR        
core                 | Gateway              | 008.000.090 | 2014-02-14 | pd-mgw10   | core       | DR        
core                 | Gateway              | 008.000.090 | 2014-02-14 | pd-mgw11   | core       | DR        
core                 | Gateway              | 008.000.090 | 2014-02-14 | pd-mgw12   | core       | DR        
core                 | Gateway              | 008.000.090 | 2014-02-14 | pd-mgw13   | core       | DR        
core                 | Gateway              | 008.000.090 | 2014-02-14 | pd-mgw14   | core       | DR        
core                 | Gateway              | 008.000.090 | 2014-02-14 | pd-mgw15   | core       | DR        
core                 | Gateway              | 008.000.090 | 2014-02-14 | pd-mgw16   | core       | DR        
core                 | Gateway              | 008.000.090 | 2014-02-14 | pd-mgw17   | core       | DR        
core                 | Gateway              | 008.000.090 | 2014-02-14 | pd-mgw18   | core       | DR        
core                 | Gateway              | 008.000.090 | 2014-02-14 | pd-mgw19   | core       | DR        
core                 | Gateway              | 008.000.090 | 2014-02-14 | pd-mgw20   | core       | DR        
core                 | Gateway              | 008.000.090 | 2014-02-14 | pd-mgw21   | core       | DR        
core                 | Gateway              | 008.000.090 | 2014-02-14 | pd-mgw22   | core       | DR        
core                 | Gateway              | 008.000.090 | 2014-02-14 | pd-mgw23   | core       | DR        
core                 | Gateway              | 008.000.090 | 2014-02-14 | pd-mgw24   | core       | DR        
core                 | Gateway              | 008.000.090 | 2014-02-14 | pd-mgw30   | core       | DR        
core                 | OutboundFeedInterface | 008.000.090 | 2014-02-14 | pd-ofi01   | core       | DR        
core                 | OutboundFeedInterface | 008.000.090 | 2014-02-14 | pd-ofi02   | core       | DR        
core                 | OutboundFeedInterface | 008.000.090 | 2014-02-14 | pd-ofi03   | core       | DR        
core                 | OutboundFeedInterface | 008.000.090 | 2014-02-14 | pd-ofi04   | core       | DR        
core                 | OutboundFeedInterface | 008.000.090 | 2014-02-14 | pd-ofi05   | core       | DR        
core                 | OutboundFeedInterface | 008.000.090 | 2014-02-14 | pd-ofi06   | core       | DR        
core                 | OutboundFeedInterface | 008.000.090 | 2014-02-14 | pd-ofi07   | core       | DR        
core                 | OutboundFeedInterface | 008.000.090 | 2014-02-14 | pd-ofi08   | core       | DR        
core                 | Pope                 | 008.000.090 | 2014-02-14 | pd-pp03a   | core       | DR        
core                 | Pope                 | 008.000.090 | 2014-02-14 | pd-pp04a   | core       | DR        
core                 | Pope                 | 008.000.090 | 2014-02-14 | pd-pp05a   | core       | DR        
core                 | SystemControler      | 008.000.090 | 2014-02-14 | pd-sc01    | core       | DR        
